plot,lat,lon,elev
M-FT-01,45.44727797,-71.108902,749.444824
M-FB-01,45.44737897,-71.11548297,908.991455
M-FM-01,45.44701201,-71.11367499,848.761658
M-FB-02,45.45012102,-71.11454504,909.089172
M-FM-02,45.44984803,-71.11202099,833.564087
M-FT-02,45.44917496,-71.10890896,738.808228
M-FT_03,45.45200796,-71.10776701,732.585815
M-FT-04,45.454029,-71.10761899,735.953979
M-FM-03,45.45185901,-71.111921,849.803406
M-FB-03,45.45139499,-71.11473204,914.407471
M-FB-04,45.45433503,-71.11339202,888.737183
M-FM-04,45.45382499,-71.11114902,824.522827
M-FB-05,45.44289901,-71.11705902,912.335876
M-FM-05,45.442754,-71.11506798,855.838257
M-FT-05,45.44212402,-71.11077402,751.968262
M-FB-06,45.44566998,-71.115603,910.151489
M-FM-06,45.44554903,-71.114395,882.916138
M-FT-06,45.44551198,-71.11066698,821.41333
M-FB-07,45.44440901,-71.116006,910.816895
M-FM-07,45.44424799,-71.11424698,859.63385
M-FM-07,45.44379797,-71.11077896,747.584412
M-FM-08,45.45662899,-71.11071602,858.002258
M-FB-08,45.45668104,-71.11309203,914.00592
M-FT-08,45.45620201,-71.10759703,742.706177
M-FB-09,45.46346099,-71.11332698,896.155701
M-FM-09,45.46380901,-71.11208696,841.489197
M-FB-10,45.46151002,-71.11257101,874.698425
M-FM-10,45.46141799,-71.11109999,824.412292
M-FT-10,45.461636,-71.10867502,742.641602
M-FT-09,45.46417102,-71.108614,723.503662
